t,dt,state,laser_x,laser_y,target_x,target_y,dx,dy,err_px,servo_x,servo_y,confidence,accuracy,locked,t_lock,lost_counter
1.2926,0.0607,TESTONE,55,48,0,0,9.001,0.001,9.0,127.987,71.618,0.0,0.0,1,0.5252,0
3.0836,0.0695,TESTONE,50,100,64,96,14.001,-3.999,14.56,126.845,76.229,0.0,0.0,1,0.5324,0
4.8127,0.0673,TESTONE,63,138,64,144,1.001,6.001,6.083,129.099,80.729,0.0,0.0,1,0.5321,0
6.6038,0.0689,TESTONE,56,192,64,192,8.001,0.001,8.0,128.049,86.315,0.0,0.0,1,0.5641,0
8.3281,0.0627,TESTONE,58,240,64,240,6.001,0.001,6.0,129.222,92.704,0.0,0.0,1,0.5266,0
10.0561,0.064,TESTONE,58,281,64,288,6.001,7.001,9.22,127.74,98.507,0.0,0.0,1,0.5281,0
11.7805,0.0612,TESTONE,55,327,64,336,9.001,9.001,12.728,126.845,104.741,0.0,0.0,1,0.5252,0
13.5042,0.0684,TESTONE,58,379,64,384,6.001,5.001,7.81,127.956,109.982,0.0,0.0,1,0.5313,0
15.2319,0.0631,TESTONE,54,426,64,432,10.001,6.001,11.662,126.691,115.031,0.0,0.0,1,0.5315,0
16.9563,0.0654,TESTONE,122,54,128,48,6.001,-5.999,8.485,120.203,71.254,0.0,0.0,1,0.5292,0
18.5525,0.0686,TESTONE,123,85,128,96,5.001,11.001,12.083,120.851,76.568,0.0,0.0,1,0.5314,0
20.2112,0.0698,TESTONE,113,155,128,144,15.001,-10.999,18.601,119.185,82.581,0.0,0.0,1,0.5317,0
21.8693,0.07,TESTONE,122,192,128,192,6.001,0.001,6.0,121.932,86.253,0.0,0.0,1,0.5346,0
23.4605,0.0672,TESTONE,125,230,128,240,3.001,10.001,10.44,120.605,93.167,0.0,0.0,1,0.5307,0
25.1207,0.0679,TESTONE,118,283,128,288,10.001,5.001,11.18,119.247,98.784,0.0,0.0,1,0.5655,0
26.781,0.0689,TESTONE,120,325,128,336,8.001,11.001,13.601,119.709,104.402,0.0,0.0,1,0.5296,0
28.3854,0.0676,TESTONE,123,392,128,384,5.001,-7.999,9.434,119.895,109.581,0.0,0.0,1,0.5312,0
29.9685,0.0634,TESTONE,121,425,128,432,7.001,7.001,9.899,119.74,114.982,0.0,0.0,1,0.5295,0
31.5612,0.0631,TESTONE,187,36,192,48,5.001,12.001,13.0,112.851,70.852,0.0,0.0,1,0.5275,0
33.0253,0.063,TESTONE,187,85,192,96,5.001,11.001,12.083,113.129,75.951,0.0,0.0,1,0.529,0
34.4818,0.0683,TESTONE,188,141,192,144,4.001,3.001,5.0,113.994,80.482,0.0,0.0,1,0.5317,0
35.941,0.0704,TESTONE,190,196,192,192,2.001,-3.999,4.472,113.623,86.006,0.0,0.0,1,0.5336,0
37.5336,0.0706,TESTONE,195,239,192,240,-2.999,1.001,3.162,112.759,92.55,0.0,0.0,1,0.5308,0
39.062,0.0677,TESTONE,186,278,192,288,6.001,10.001,11.662,112.555,98.692,0.0,0.0,1,0.5308,0
40.591,0.0645,TESTONE,188,335,192,336,4.001,1.001,4.123,112.79,104.216,0.0,0.0,1,0.5333,0
42.049,0.0636,TESTONE,192,379,192,384,0.001,5.001,5.0,112.728,111.988,0.0,0.0,1,0.5297,0
43.7094,0.0656,TESTONE,192,428,192,432,0.001,4.001,4.0,112.389,117.235,0.0,0.0,1,0.5328,0
45.1699,0.0646,TESTONE,249,35,256,48,7.001,13.001,14.765,104.179,70.173,0.0,0.0,1,0.5345,0
46.6304,0.063,TESTONE,253,86,256,96,3.001,10.001,10.44,104.845,75.519,0.0,0.0,1,0.535,0
48.0434,0.0743,TESTONE,251,141,256,144,5.001,3.001,5.831,105.957,80.327,0.0,0.0,1,0.5454,0
49.4179,0.0674,TESTONE,255,194,256,192,1.001,-1.999,2.236,105.278,86.222,0.0,0.0,1,0.5343,0
50.8097,0.0682,TESTONE,250,240,256,240,6.001,0.001,6.0,104.382,92.611,0.0,0.0,1,0.5325,0
52.2056,0.0642,TESTONE,251,292,256,288,5.001,-3.999,6.403,104.506,98.136,0.0,0.0,1,0.5298,0
53.5342,0.07,TESTONE,243,340,256,336,13.001,-3.999,13.601,103.024,104.618,0.0,0.0,1,0.5335,0
54.9276,0.0662,TESTONE,256,389,256,384,0.001,-4.999,5.0,104.413,111.679,0.0,0.0,1,0.5301,0
56.3874,0.0703,TESTONE,247,437,256,432,9.001,-4.999,10.296,103.209,116.76,0.0,0.0,1,0.5034,0
57.8628,0.0841,TESTONE,321,30,320,48,-0.999,18.001,18.028,98.037,70.605,0.0,0.0,1,0.5496,0
59.3071,0.0713,TESTONE,319,90,320,96,1.001,6.001,6.083,98.364,74.315,0.0,0.0,1,0.5326,0
60.7023,0.0658,TESTONE,321,143,320,144,-0.999,1.001,1.414,97.5,80.204,0.0,0.0,1,0.5328,0
62.0971,0.0685,TESTONE,312,193,320,192,8.001,-0.999,8.062,96.728,86.099,0.0,0.0,1,0.5316,0
63.4228,0.068,TESTONE,318,240,320,240,2.001,0.001,2.0,97.407,92.488,0.0,0.0,1,0.5321,0
64.6834,0.0687,TESTONE,312,291,320,288,8.001,-2.999,8.544,97.006,98.013,0.0,0.0,1,0.5327,0
65.9485,0.0651,TESTONE,323,346,320,336,-2.999,-9.999,10.44,97.098,104.679,0.0,0.0,1,0.5296,0
67.2753,0.0681,TESTONE,323,383,320,384,-2.999,1.001,3.162,96.512,111.617,0.0,0.0,1,0.5326,0
68.8673,0.0617,TESTONE,313,437,320,432,7.001,-4.999,8.602,96.296,115.445,0.0,0.0,1,0.5558,0
70.6598,0.0634,TESTONE,389,52,384,48,-4.999,-3.999,6.403,87.08,70.142,0.0,0.0,1,0.5268,0
72.052,0.0653,TESTONE,389,89,384,96,-4.999,7.001,8.602,88.456,74.253,0.0,0.0,1,0.5284,0
73.4467,0.0648,TESTONE,388,135,384,144,-3.999,9.001,9.849,87.839,80.883,0.0,0.0,1,0.5314,0
74.9756,0.0683,TESTONE,387,195,384,192,-2.999,-2.999,4.243,87.222,86.037,0.0,0.0,1,0.5012,0
76.1678,0.0688,TESTONE,391,241,384,240,-6.999,-0.999,7.071,87.592,92.365,0.0,0.0,1,0.5254,0
77.4277,0.0689,TESTONE,382,295,384,288,2.001,-6.999,7.28,86.79,97.55,0.0,0.0,1,0.5305,0
78.6919,0.0613,TESTONE,382,336,384,336,2.001,0.001,2.0,86.666,106.932,0.0,0.0,1,0.5204,0
80.083,0.0647,TESTONE,381,385,384,384,3.001,-0.999,3.162,86.821,111.37,0.0,0.0,1,0.5299,0
81.544,0.0652,TESTONE,383,439,384,432,1.001,-6.999,7.071,86.605,115.278,0.0,0.0,1,0.5357,0
84.7314,0.0622,TESTONE,456,27,448,48,-7.999,21.001,22.472,81.45,70.883,0.0,0.0,1,0.5303,0
86.1235,0.0663,TESTONE,464,78,448,96,-15.999,18.001,24.083,81.944,74.846,0.0,0.0,1,0.5333,0
87.5193,0.0646,TESTONE,455,139,448,144,-6.999,5.001,8.602,80.802,80.544,0.0,0.0,1,0.5288,0
88.914,0.067,TESTONE,460,191,448,192,-11.999,1.001,12.042,82.314,85.575,0.0,0.0,1,0.5294,0
90.2396,0.066,TESTONE,459,233,448,240,-10.999,7.001,13.038,80.802,92.087,0.0,0.0,1,0.5314,0
91.833,0.0672,TESTONE,451,283,448,288,-2.999,5.001,5.831,79.568,97.457,0.0,0.0,1,0.5317,0
93.162,0.0685,TESTONE,447,339,448,336,1.001,-2.999,3.162,79.969,106.161,0.0,0.0,1,0.5021,0
94.4887,0.0684,TESTONE,455,394,448,384,-6.999,-9.999,12.207,79.382,110.63,0.0,0.0,1,0.533,0
95.9483,0.0686,TESTONE,456,446,448,432,-7.999,-13.999,16.125,80.925,116.513,0.0,0.0,1,0.5322,0
98.2052,0.0729,TESTONE,521,54,512,48,-8.999,-5.999,10.817,73.697,69.161,0.0,0.0,1,0.5341,0
99.9966,0.0657,TESTONE,504,88,512,96,8.001,8.001,11.314,72.858,75.624,0.0,0.0,1,0.5302,0
101.3928,0.0627,TESTONE,521,140,512,144,-8.999,4.001,9.849,72.907,80.142,0.0,0.0,1,0.5281,0
102.8523,0.0641,TESTONE,519,193,512,192,-6.999,-0.999,7.071,72.907,85.328,0.0,0.0,1,0.5249,0
104.3126,0.0694,TESTONE,520,237,512,240,-7.999,3.001,8.544,72.907,91.809,0.0,0.0,1,0.5314,0
105.776,0.0726,TESTONE,515,289,512,288,-2.999,-0.999,3.162,71.364,97.148,0.0,0.0,1,0.536,0
107.1687,0.0668,TESTONE,513,347,512,336,-0.999,-10.999,11.045,71.333,103.537,0.0,0.0,1,0.5291,0
108.5604,0.0689,TESTONE,511,378,512,384,1.001,6.001,6.083,71.395,110.846,0.0,0.0,1,0.5325,0
110.0213,0.0679,TESTONE,513,432,512,432,-0.999,0.001,1.0,71.117,116.525,0.0,0.0,1,0.5324,0
112.081,0.0662,TESTONE,578,48,576,48,-1.999,0.001,2.0,67.203,68.192,0.0,0.0,1,0.5308,0
114.5367,0.068,TESTONE,587,92,576,96,-10.999,4.001,11.705,66.024,73.976,0.0,0.0,1,0.5332,0
116.0613,0.063,TESTONE,586,138,576,144,-9.999,6.001,11.662,66.234,81.346,0.0,0.0,1,0.5425,0
117.7215,0.0649,TESTONE,584,186,576,192,-7.999,6.001,10.0,66.037,85.544,0.0,0.0,1,0.5286,0
119.2493,0.0631,TESTONE,592,238,576,240,-15.999,2.001,16.125,66.481,91.809,0.0,0.0,1,0.5324,0
120.8411,0.0656,TESTONE,584,280,576,288,-7.999,8.001,11.314,64.74,97.118,0.0,0.0,1,0.5296,0
122.4342,0.0646,TESTONE,583,336,576,336,-6.999,0.001,7.0,64.864,103.075,0.0,0.0,1,0.5297,0
123.9625,0.0633,TESTONE,585,388,576,384,-8.999,-3.999,9.849,65.308,109.365,0.0,0.0,1,0.5304,0
125.4965,0.0627,TESTONE,580,440,576,432,-3.999,-7.999,8.944,64.401,114.074,0.0,0.0,1,0.5429,0
